date,close
2015-04-01,37.8
2015-04-01,37.8
2015-04-02,37.56
2015-04-02,37.56
2015-04-03,37.61
2015-04-03,37.61
2015-04-07,39.08
2015-04-07,39.08
2015-04-08,40.76
2015-04-08,40.76
2015-04-09,39.85
2015-04-09,39.85
2015-04-10,41.19
2015-04-10,41.19
2015-04-13,40.92
2015-04-13,40.92
2015-04-14,39.52
2015-04-14,39.52
2015-04-15,38.54
2015-04-15,38.54
2015-04-16,39.72
2015-04-16,39.72
2015-04-17,39.45
2015-04-17,39.45
2015-04-20,37.48
2015-04-20,37.48
2015-04-21,38.62
2015-04-21,38.62
2015-04-22,40.0
2015-04-22,40.0
2015-04-23,39.06
2015-04-23,39.06
2015-04-24,37.79
2015-04-24,37.79
2015-04-27,38.4
2015-04-27,38.4
2015-04-28,39.59
2015-04-28,39.59
2015-04-29,38.65
2015-04-29,38.65
2015-04-30,38.06
2015-04-30,38.06
2015-05-04,39.62
2015-05-04,39.62
2015-05-05,38.63
2015-05-05,38.63
2015-05-06,40.96
2015-05-06,40.96
2015-05-07,38.5
2015-05-07,38.5
2015-05-08,38.34
2015-05-08,38.34
2015-05-11,39.29
2015-05-11,39.29
2015-05-12,39.13
2015-05-12,39.13
2015-05-13,38.42
2015-05-13,38.42
2015-05-14,38.39
2015-05-14,38.39
2015-05-15,36.93
2015-05-15,36.93
2015-05-18,35.6
2015-05-18,35.6
2015-05-19,36.89
2015-05-19,36.89
2015-05-20,36.59
2015-05-20,36.59
2015-05-21,36.67
2015-05-21,36.67
2015-05-22,37.64
2015-05-22,37.64
2015-05-25,38.79
2015-05-25,38.79
2015-05-26,38.73
2015-05-26,38.73
2015-05-27,38.26
2015-05-27,38.26
2015-05-28,35.73
2015-05-28,35.73
2015-05-29,35.26
2015-05-29,35.26
2015-06-01,36.44
2015-06-01,36.44
2015-06-02,36.11
2015-06-02,36.11
2015-06-03,36.31
2015-06-03,36.31
2015-06-04,36.94
2015-06-04,36.94
2015-06-05,36.6
2015-06-05,36.6
2015-06-08,38.48
2015-06-08,38.48
2015-06-09,37.81
2015-06-09,37.81
2015-06-10,37.55
2015-06-10,37.55
2015-06-11,37.74
2015-06-11,37.74
2015-06-12,36.86
2015-06-12,36.86
2015-06-15,35.62
2015-06-15,35.62
2015-06-16,34.9
2015-06-16,34.9
2015-06-17,35.07
2015-06-17,35.07
2015-06-18,33.43
2015-06-18,33.43
2015-06-19,31.05
2015-06-19,31.05
2015-06-23,32.48
2015-06-23,32.48
2015-06-24,32.55
2015-06-24,32.55
2015-06-25,31.02
2015-06-25,31.02
2015-06-26,28.69
2015-06-26,28.69
2015-06-29,29.04
2015-06-29,29.04
2015-06-30,31.32
2015-06-30,31.32
2015-07-01,29.62
2015-07-01,29.62
2015-07-02,28.2
2015-07-02,28.2
2015-07-03,27.88
2015-07-03,27.88
2015-07-06,30.7
2015-07-06,30.7
2015-07-07,33.77
2015-07-07,33.77
2015-07-08,34.3
2015-07-08,34.3
2015-07-09,35.58
2015-07-09,35.58
2015-07-10,36.09
2015-07-10,36.09
2015-07-13,34.09
2015-07-13,34.09
2015-07-14,33.2
2015-07-14,33.2
2015-07-15,33.72
2015-07-15,33.72
2015-07-16,32.79
2015-07-16,32.79
2015-07-17,32.97
2015-07-17,32.97
2015-07-20,33.0
2015-07-20,33.0
2015-07-21,32.4
